Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS
18,Nashville Predators,Chet Pickard,CA,G,18,,Tri-City (WHL),,,,,,,,,,,,,
18,Montreal Canadiens,Louis Leblanc,CA,C,18,2014,Omaha (USHL),50,5,5,10,4,32,,,,,,,1
18,Nashville Predators,Austin Watson,US,LW,18,2022,Peterborough (OHL),378,42,50,92,-1,470,,,,,,,6.4
18,Chicago Blackhawks,Mark McNeill,CA,C,18,2017,Prince Albert (WHL),2,0,0,0,-1,0,,,,,,,-0.1
18,Chicago Blackhawks,Teuvo Teravainen,FI,LW,18,2022,Jokerit (Finland),498,111,237,348,72,94,,,,,,,36.8
18,San Jose Sharks,Mirco Mueller,CH,D,18,2020,Everett (WHL),185,5,23,28,-25,61,,,,,,,4.9
19,New York Rangers,Lauri Korpikoski,FI,LW,18,2017,TPS Turku Jr. (Finland-Jr.),609,86,115,201,-49,132,,,,,,,14.8
19,Detroit Red Wings,Jakub Kindl,CZ,D,18,2017,Kitchener (OHL),331,16,58,74,14,181,,,,,,,15.9
19,Anaheim Ducks,Mark Mitera,US,D,18,,Michigan (CCHA),,,,,,,,,,,,,
19,Anaheim Ducks,Logan MacMillan,CA,C,18,,Halifax (QMJHL),,,,,,,,,,,,,
19,Philadelphia Flyers,Luca Sbisa,IT,D,18,2021,Lethbridge (WHL),549,20,93,113,-18,385,,,,,,,22.2
19,New York Rangers,Chris Kreider,US,C,18,2022,Andover (High-MA),627,212,183,395,83,495,,,,,,,50.2
19,Florida Panthers,Nick Bjugstad,US,C,18,2022,Blaine (High-MN),517,108,125,233,-38,223,,,,,,,22.2
19,Edmonton Oilers,Oscar Klefbom,SE,D,18,2020,Farjestad (Sweden),378,34,122,156,-64,74,,,,,,,23.2
19,Tampa Bay Lightning,Andrey Vasilevskiy,RU,G,18,2022,Ufa 2 (Russia-Jr.),344,0,15,15,0,30,344,219,92,23,0.92,2.48,69.3
19,Columbus Blue Jackets,Kerby Rychel,US,LW,18,2019,Windsor (OHL),43,3,11,14,5,19,,,,,,,1.4
20,New Jersey Devils,Travis Zajac,CA,C,19,2021,Salmon Arm (BCHL),1037,203,349,552,-20,344,,,,,,,52.4
20,Florida Panthers,Kenndal McArdle,CA,LW,18,2012,Moose Jaw (WHL),42,1,2,3,-11,51,,,,,,,-0.6
20,Montreal Canadiens,David Fischer,US,D,18,,Apple Valley (High-MN),,,,,,,,,,,,,
20,Pittsburgh Penguins,Angelo Esposito,CA,C,18,,Quebec (QMJHL),,,,,,,,,,,,,
20,New York Rangers,Michael Del Zotto,CA,D,18,2022,Oshawa (OHL),720,62,193,255,-35,284,,,,,,,47.3
20,New Jersey Devils,Jacob Josefson,SE,C,18,2018,Djurgarden (Sweden),315,20,44,64,-21,84,,,,,,,3.1
20,Pittsburgh Penguins,Beau Bennett,US,RW,18,2018,Penticton (BCHL),200,24,40,64,-2,52,,,,,,,5.7
20,Phoenix Coyotes,Connor Murphy,US,D,18,2022,USA U-18 (USHL),546,32,87,119,-33,318,,,,,,,23.3
20,Philadelphia Flyers,Scott Laughton,CA,C,18,2022,Oshawa (OHL),425,64,88,152,-4,238,,,,,,,12.2
20,Detroit Red Wings,Anthony Mantha,CA,RW,18,2022,Val-D'Or (QMJHL),327,101,107,208,-25,200,,,,,,,22.3
21,Colorado Avalanche,Wojtek Wolski,PL,LW,18,2013,Brampton (OHL),451,99,168,267,17,113,,,,,,,26.8
21,Toronto Maple Leafs,Tuukka Rask,FI,G,18,2022,Ilves Tampere Jr. (Finland-Jr.),564,0,17,17,0,26,564,308,165,66,0.921,2.28,107.1
21,New York Rangers,Bobby Sanguinetti,US,D,18,2013,Owen Sound (OHL),45,2,4,6,-6,8,,,,,,,0.8
21,Edmonton Oilers,Riley Nash,CA,C,18,2022,Salmon Arm (BCHL),620,63,111,174,-13,144,,,,,,,12.7
21,Washington Capitals,Anton Gustafsson,SE,C,18,,Vastra Frolunda Jr. ( ),,,,,,,,,,,,,
21,Columbus Blue Jackets,John Moore,US,D,18,2022,Chicago Steel (USHL),544,38,80,118,-35,227,,,,,,,25.1
21,Detroit Red Wings,Riley Sheahan,CA,C,18,2022,Notre Dame (CCHA),609,72,115,187,-55,91,,,,,,,12
21,Ottawa Senators,Stefan Noesen,US,RW,18,2022,Plymouth (OHL),207,31,23,54,-1,122,,,,,,,5.2
21,Calgary Flames,Mark Jankowski,CA,C,18,2022,Stanstead College (High-QC),272,42,38,80,-7,69,,,,,,,6.3
21,Toronto Maple Leafs,Frederik Gauthier,CA,C,18,2022,Rimouski (QMJHL),178,13,18,31,-9,47,,,,,,,1.1
22,San Jose Sharks,Lukas Kaspar,CZ,RW,18,2009,Chemopetrol Litvinov (Russia),16,2,2,4,-2,8,,,,,,,0.3
